cycle, src_component, src_port, dst_component, dst_port, state, data
6, rhs_buff, 0, rhs_ctrl_init, 0, stall, 1
6, rhs_init_fork, 1, rhs_data_mux, 0, accept, 1
6, out_buf_rhs_nds_res, 0, rhs_out_bl_res, 1, stall, 
6, rhs_source2, 0, rhs_constant2, 0, stall, 
6, rhs_mux_passer_ctrl, 0, rhs_ctrl_passer, 1, stall, 1
6, out_lf_res, 0, out_buf_lhs_nds_res, 0, idle, 
6, rhs_passer, 0, rhs_out_bl_res, 0, idle, u
6, rhs_initop, 0, rhs_init_fork, 0, accept, 1
6, rhs_constant, 0, rhs_ctrl_mux2, 2, stall, 1
6, rhs_ctrl_muxed_fork, 2, rhs_ctrl_passer, 0, accept, 1
6, lhs_in_buf_dataT, 0, lhs_res_mux, 2, accept, u
6, out_lf_res, 1, out_buf_rhs_nds_res, 0, idle, 
6, cond, 0, in_fork_cond, 0, transfer, 0
6, rhs_in_buf_cond, 0, rhs_ctrl_mux, 2, transfer, 1
6, rhs_ctrl_mux2, 0, rhs_passer, 1, idle, 1
6, out_src_res, 0, out_lf_res, 0, stall, 
7, rhs_constant2, 0, rhs_mux_passer_ctrl, 2, transfer, 1
7, in_fork_cond, 0, lhs_in_buf_cond, 0, accept, 0
7, rhs_data_mux, 0, rhs_passer, 0, transfer, u
7, rhs_initop2, 0, rhs_mux_passer_ctrl, 0, transfer, 1
7, dataF, 2, in_fork_dataF, 0, transfer, u
7, rhs_ctrl_passer, 0, rhs_initop, 0, transfer, 0
7, lhs_dataF_passer, 0, lhs_res_mux, 1, transfer, u
7, rhs_init_fork, 0, rhs_ctrl_mux2, 0, transfer, 0
7, out_eq_res, 0, EQ_res, 0, transfer, u
7, lhs_in_buf_cond, 0, lhs_initop, 0, transfer, 0
7, rhs_ctrl_muxed_fork, 1, rhs_initop2, 0, stall, 0
7, rhs_in_buf_dataF, 0, rhs_data_mux, 1, transfer, u
7, lhs_in_buf_ctrl, 0, lhs_dataF_passer, 1, transfer, 1
7, lhs_out_bl_res, 0, out_eq_res, 0, transfer, u
7, rhs_ctrl_mux, 0, rhs_ctrl_muxed_fork, 0, stall, 0
7, in_fork_cond, 1, rhs_in_buf_cond, 0, idle, 0
7, lhs_initop, 0, lhs_res_mux, 0, transfer, 0
7, rhs_out_bl_res, 0, out_eq_res, 1, transfer, u
